,test_id,m,n,jit_coef,picked_depth,halving_depth,d,c0,c2
1,1,200,2,0,0,2,5.298317367,1.918356388,0.521279574
2,1,200,2,1,3,3,5.298317367,1.918356388,0.781919361
3,1,200,2,3,0,3,5.298317367,1.918356388,0.781919361
4,1,500,5,0,0,2,6.214608098,0.986151099,0.405617355
5,1,500,5,1,2,2,6.214608098,0.986151099,0.405617355
6,1,500,5,3,4,2,6.214608098,0.986151099,0.405617355
7,1,1000,10,0,0,2,6.907755279,0.57979342,0.344950448
8,1,1000,10,1,1,9,6.907755279,0.57979342,1.552277016
9,1,1000,10,3,2,9,6.907755279,0.57979342,1.552277016
10,1,2000,20,0,6,7,7.60090246,0.334768508,1.045498581
11,1,2000,20,1,7,1,7.60090246,0.334768508,0.14935694
12,1,2000,20,3,6,,7.60090246,0.334768508,0
13,2,200,2,0,16,2,52.98317367,45.67515071,0.021893743
14,2,200,2,1,18,2,52.98317367,45.67515071,0.021893743
15,2,200,2,3,16,,52.98317367,45.67515071,0
16,2,500,5,0,10,6,62.14608098,22.29072719,0.053834045
17,2,500,5,1,1,10,62.14608098,22.29072719,0.089723408
18,2,500,5,3,6,,62.14608098,22.29072719,0
19,2,1000,10,0,12,5,69.07755279,12.70568948,0.039352449
20,2,1000,10,1,4,10,69.07755279,12.70568948,0.078704898
21,2,1000,10,3,2,10,69.07755279,12.70568948,0.078704898
22,2,2000,20,0,24,1,76.0090246,7.148136308,0.00699483
23,2,2000,20,1,24,9,76.0090246,7.148136308,0.062953472
24,2,2000,20,3,13,4,76.0090246,7.148136308,0.027979321
25,1,200,2,0,1,3,5.298317367,1.918356388,0.781919361
26,1,200,2,1,3,5,5.298317367,1.918356388,1.303198934
27,1,200,2,3,3,2,5.298317367,1.918356388,0.521279574
28,1,500,5,0,2,2,6.214608098,0.986151099,0.405617355
29,1,500,5,1,2,4,6.214608098,0.986151099,0.811234709
30,1,500,5,3,1,1,6.214608098,0.986151099,0.202808677
31,1,1000,10,0,5,2,6.907755279,0.57979342,0.344950448
32,1,1000,10,1,5,8,6.907755279,0.57979342,1.379801792
33,1,1000,10,3,4,5,6.907755279,0.57979342,0.86237612
34,1,2000,20,0,6,2,7.60090246,0.334768508,0.29871388
35,1,2000,20,1,7,12,7.60090246,0.334768508,1.792283282
36,1,2000,20,3,7,2,7.60090246,0.334768508,0.29871388
37,2,200,2,0,9,,52.98317367,45.67515071,0
38,2,200,2,1,3,2,52.98317367,45.67515071,0.021893743
39,2,200,2,3,7,2,52.98317367,45.67515071,0.021893743
40,2,500,5,0,22,,62.14608098,22.29072719,0
41,2,500,5,1,24,2,62.14608098,22.29072719,0.017944682
42,2,500,5,3,20,,62.14608098,22.29072719,0
43,2,1000,10,0,9,9,69.07755279,12.70568948,0.070834409
44,2,1000,10,1,24,,69.07755279,12.70568948,0
45,2,1000,10,3,1,,69.07755279,12.70568948,0
46,2,2000,20,0,5,10,76.0090246,7.148136308,0.069948302
47,2,2000,20,1,1,,76.0090246,7.148136308,0
48,2,2000,20,3,7,,76.0090246,7.148136308,0
49,1,200,2,0,3,2,5.298317367,1.918356388,0.521279574
50,1,200,2,1,3,4,5.298317367,1.918356388,1.042559147
51,1,200,2,3,0,2,5.298317367,1.918356388,0.521279574
52,1,500,5,0,4,2,6.214608098,0.986151099,0.405617355
53,1,500,5,1,3,6,6.214608098,0.986151099,1.216852064
54,1,500,5,3,3,8,6.214608098,0.986151099,1.622469418
55,1,1000,10,0,3,7,6.907755279,0.57979342,1.207326568
56,1,1000,10,1,6,,6.907755279,0.57979342,0
57,1,1000,10,3,4,3,6.907755279,0.57979342,0.517425672
58,1,2000,20,0,5,8,7.60090246,0.334768508,1.194855522
59,1,2000,20,1,7,6,7.60090246,0.334768508,0.896141641
60,1,2000,20,3,3,3,7.60090246,0.334768508,0.448070821
61,2,200,2,0,25,3,52.98317367,45.67515071,0.032840614
62,2,200,2,1,22,7,52.98317367,45.67515071,0.0766281
63,2,200,2,3,8,1,52.98317367,45.67515071,0.010946871
64,2,500,5,0,1,8,62.14608098,22.29072719,0.071778726
65,2,500,5,1,3,,62.14608098,22.29072719,0
66,2,500,5,3,5,7,62.14608098,22.29072719,0.062806385
67,2,1000,10,0,6,,69.07755279,12.70568948,0
68,2,1000,10,1,9,2,69.07755279,12.70568948,0.01574098
69,2,1000,10,3,14,,69.07755279,12.70568948,0
70,2,2000,20,0,22,2,76.0090246,7.148136308,0.01398966
71,2,2000,20,1,8,2,76.0090246,7.148136308,0.01398966
72,2,2000,20,3,0,12,76.0090246,7.148136308,0.083937963
73,1,200,2,0,2,3,5.298317367,1.918356388,0.781919361
74,1,200,2,1,0,6,5.298317367,1.918356388,1.563838721
75,1,200,2,3,1,2,5.298317367,1.918356388,0.521279574
76,1,500,5,0,1,2,6.214608098,0.986151099,0.405617355
77,1,500,5,1,1,5,6.214608098,0.986151099,1.014043386
78,1,500,5,3,2,4,6.214608098,0.986151099,0.811234709
79,1,1000,10,0,2,,6.907755279,0.57979342,0
80,1,1000,10,1,3,3,6.907755279,0.57979342,0.517425672
81,1,1000,10,3,5,2,6.907755279,0.57979342,0.344950448
82,1,2000,20,0,6,,7.60090246,0.334768508,0
83,1,2000,20,1,2,3,7.60090246,0.334768508,0.448070821
84,1,2000,20,3,5,10,7.60090246,0.334768508,1.493569402
85,2,200,2,0,8,3,52.98317367,45.67515071,0.032840614
